γ,n,cFrac,gappingPolicy,τσParam,reward,seed
0.6,3,0.15,true,0.15,0.839643,1
0.6,3,0.15,false,0.37,0.84961367,1
0.6,3,0.2,true,0.17,0.81888187,1
0.6,3,0.2,false,0.44,0.82947296,1
0.6,3,0.25,true,0.2,0.7997547,1
0.6,3,0.25,false,0.44,0.80955774,1
0.6,3,0.3,true,0.2,0.7810671,1
0.6,3,0.3,false,0.59,0.79073995,1
0.6,3,0.35,true,0.25,0.76378757,1
0.6,3,0.35,false,0.73,0.77308345,1
0.6,3,0.4,true,0.25,0.7466335,1
0.6,3,0.4,false,0.74,0.7565605,1
0.6,3,0.45,true,0.34,0.73110044,1
0.6,3,0.45,false,0.75,0.74008346,1
0.6,3,0.5,true,0.34,0.7157932,1
0.6,3,0.5,false,0.98,0.7254484,1
0.6,3,0.55,true,0.47,0.70105726,1
0.6,3,0.55,false,0.99,0.7108754,1
0.6,3,0.6,true,0.48,0.6876278,1
0.6,3,0.6,false,1.03,0.6961788,1
0.6,3,0.65,true,0.6,0.6745338,1
0.6,3,0.65,false,1.03,0.68165463,1
0.6,3,0.7,true,0.61,0.66247326,1
0.6,3,0.7,false,1.14,0.66759443,1
0.6,3,0.75,true,0.61,0.6504385,1
0.6,3,0.75,false,1.46,0.6536706,1
0.6,3,0.8,true,0.68,0.6386413,1
0.6,3,0.8,false,1.72,0.64166534,1
0.6,3,0.85,true,0.77,0.6274686,1
0.6,3,0.85,false,1.72,0.63009137,1
0.6,3,0.9,true,0.86,0.61718225,1
0.6,3,0.9,false,1.72,0.61851734,1
0.6,3,0.95,true,1.97,0.6103769,1
0.6,3,0.95,false,1.72,0.60694337,1
0.6,4,0.05,true,0.04,0.9344599,1
0.6,4,0.05,false,0.16,0.9408644,1
0.6,4,0.1,true,0.05,0.9072262,1
0.6,4,0.1,false,0.29,0.91606337,1
0.6,4,0.15,true,0.07,0.8836062,1
0.6,4,0.15,false,0.34,0.8933055,1
0.6,4,0.2,true,0.08,0.8612016,1
0.6,4,0.2,false,0.41,0.870959,1
0.6,4,0.25,true,0.1,0.83980745,1
0.6,4,0.25,false,0.47,0.84947497,1
0.6,4,0.3,true,0.12,0.8193317,1
0.6,4,0.3,false,0.57,0.8286419,1
0.6,4,0.35,true,0.12,0.79958755,1
0.6,4,0.35,false,0.62,0.8087648,1
0.6,4,0.4,true,0.14,0.7799638,1
0.6,4,0.4,false,0.68,0.7892829,1
0.6,4,0.45,true,0.17,0.76122284,1
0.6,4,0.45,false,0.76,0.7702997,1
0.6,4,0.5,true,0.17,0.7431347,1
0.6,4,0.5,false,0.76,0.75134385,1
0.6,4,0.55,true,0.24,0.72619903,1
0.6,4,0.55,false,0.93,0.7331617,1
0.6,4,0.6,true,0.24,0.7097812,1
0.6,4,0.6,false,0.93,0.71518326,1
0.6,4,0.65,true,0.26,0.6934215,1
0.6,4,0.65,false,1.22,0.6984891,1
0.6,4,0.7,true,0.28,0.6775241,1
0.6,4,0.7,false,1.36,0.68192756,1
0.6,4,0.75,true,0.41,0.6636666,1
0.6,4,0.75,false,1.57,0.6665924,1
0.6,4,0.8,true,0.64,0.65137243,1
0.6,4,0.8,false,1.57,0.65120417,1
0.6,4,0.85,true,0.67,0.6399727,1
0.6,4,0.85,false,1.82,0.6362541,1
0.6,4,0.9,true,0.68,0.6286007,1
0.6,4,0.9,false,2.19,0.6218422,1
0.6,4,0.95,true,1.51,0.6174467,1
0.6,4,0.95,false,2.44,0.6117011,1
0.6,5,0.05,true,0.02,0.9538768,1
0.6,5,0.05,false,0.2,0.9600418,1
0.6,5,0.1,true,0.03,0.9283624,1
0.6,5,0.1,false,0.26,0.93636817,1
0.6,5,0.15,true,0.04,0.9051203,1
0.6,5,0.15,false,0.41,0.9135369,1
0.6,5,0.2,true,0.05,0.88285714,1
0.6,5,0.2,false,0.49,0.8922568,1
0.6,5,0.25,true,0.05,0.86103576,1
0.6,5,0.25,false,0.49,0.87115,1
0.6,5,0.3,true,0.06,0.8399393,1
0.6,5,0.3,false,0.49,0.85004324,1
0.6,5,0.35,true,0.09,0.820416,1
0.6,5,0.35,false,0.61,0.82937473,1
0.6,5,0.4,true,0.1,0.80110824,1
0.6,5,0.4,false,0.76,0.80894816,1
0.6,5,0.45,true,0.12,0.7827633,1
0.6,5,0.45,false,0.76,0.78908694,1
0.6,5,0.5,true,0.12,0.76450586,1
0.6,5,0.5,false,0.9,0.76947683,1
0.6,5,0.55,true,0.12,0.7462485,1
0.6,5,0.55,false,0.9,0.75009626,1
0.6,5,0.6,true,0.13,0.7282231,1
0.6,5,0.6,false,0.9,0.73071563,1
0.6,5,0.65,true,0.15,0.71069336,1
0.6,5,0.65,false,1.06,0.71138376,1
0.6,5,0.7,true,0.23,0.6944451,1
0.6,5,0.7,false,1.06,0.692527,1
0.6,5,0.75,true,0.23,0.67857265,1
0.6,5,0.75,false,1.28,0.67380446,1
0.6,5,0.8,true,0.23,0.66270024,1
0.6,5,0.8,false,1.28,0.65554166,1
0.6,5,0.85,true,0.23,0.6468279,1
0.6,5,0.85,false,1.28,0.63727885,1
0.6,5,0.9,true,0.35,0.6319367,1
0.6,5,0.9,false,2.09,0.62142473,1
0.6,5,0.95,true,0.52,0.61788553,1
0.6,5,0.95,false,2.09,0.6053273,1
